Date,Open,High,Low,Close,Adj Close,Volume
2017-07-12,47.380001,47.640999,47.380001,47.640999,47.640999,0
2017-07-13,47.567001,47.637001,47.567001,47.637001,47.637001,0
2017-07-14,47.632999,47.632999,47.594002,47.594002,47.594002,0
2017-07-17,null,null,null,null,null,null
2017-07-18,null,null,null,null,null,null
2017-07-19,null,null,null,null,null,null
2017-07-20,null,null,null,null,null,null
2017-07-21,null,null,null,null,null,null
2017-07-24,47.455002,47.469002,47.455002,47.469002,47.469002,0
2017-07-25,47.441002,47.441002,47.263000,47.263000,47.263000,0
2017-07-26,47.272999,47.272999,47.249001,47.249001,47.249001,0
2017-07-27,47.200001,47.248001,47.200001,47.248001,47.248001,0
2017-07-28,47.216999,47.216999,47.096001,47.096001,47.096001,0
2017-07-31,47.169998,47.169998,47.053001,47.053001,47.053001,0
2017-08-01,47.159000,47.159000,47.159000,47.159000,47.159000,0
2017-08-02,47.012001,47.012001,46.998001,46.998001,46.998001,0
2017-08-03,46.978001,47.014000,46.978001,47.014000,47.014000,0
2017-08-04,47.035000,47.223000,47.035000,47.223000,47.223000,0
2017-08-07,47.127998,47.127998,47.127998,47.127998,47.127998,0
2017-08-08,47.117001,47.216999,47.117001,47.216999,47.216999,0
2017-08-09,47.438000,47.438000,47.438000,47.438000,47.438000,0
2017-08-10,47.389999,47.535000,47.389999,47.535000,47.535000,2158
2017-08-11,47.495998,47.495998,47.433998,47.433998,47.433998,0
2017-08-14,47.241001,47.396999,47.241001,47.396999,47.396999,0
2017-08-15,47.341000,47.341000,47.341000,47.341000,47.341000,0
2017-08-16,47.279999,47.384998,47.279999,47.384998,47.384998,0
2017-08-17,47.351002,47.419998,47.351002,47.419998,47.419998,0
2017-08-18,47.537998,47.549000,47.537998,47.549000,47.549000,0
2017-08-21,47.387001,47.387001,47.387001,47.387001,47.387001,0
2017-08-22,47.432999,47.432999,47.432999,47.432999,47.432999,0
2017-08-23,47.448002,47.448002,47.356998,47.356998,47.356998,0
2017-08-24,47.397999,47.397999,47.370998,47.370998,47.370998,0
2017-08-25,47.198002,47.198002,47.198002,47.198002,47.198002,0
2017-08-28,46.967999,46.967999,46.967999,46.967999,46.967999,0
2017-08-29,46.993999,46.993999,46.924000,46.924000,46.924000,0
2017-08-30,46.928001,47.046001,46.928001,47.046001,47.046001,0
2017-08-31,47.064999,47.186001,47.064999,47.186001,47.186001,0
2017-09-01,47.212002,47.212002,47.202000,47.202000,47.202000,0
2017-09-04,47.119999,47.119999,47.119999,47.119999,47.119999,0
2017-09-05,47.347000,47.347000,47.347000,47.347000,47.347000,0
2017-09-06,47.396000,47.325001,47.325001,47.325001,47.325001,0
2017-09-07,47.264999,47.230000,47.230000,47.230000,47.230000,0
2017-09-08,47.237999,47.199001,47.199001,47.199001,47.199001,0
2017-09-11,47.183998,47.183998,47.145000,47.145000,47.145000,0
2017-09-12,47.064999,47.064999,46.958000,46.958000,46.958000,0
2017-09-13,46.944000,47.058998,46.944000,47.058998,47.058998,0
2017-09-14,47.062000,47.075001,47.062000,47.075001,47.075001,0
2017-09-15,46.849998,46.849998,46.849998,46.849998,46.849998,0
2017-09-18,46.855999,46.855999,46.777000,46.777000,46.777000,0
2017-09-19,46.608002,46.708000,46.608002,46.708000,46.708000,0
2017-09-20,46.637001,46.671001,46.637001,46.671001,46.671001,0
2017-09-21,46.780998,46.780998,46.717999,46.717999,46.717999,0
2017-09-22,46.687000,46.687000,46.668999,46.668999,46.668999,0
2017-09-25,46.804001,47.049999,46.804001,47.049999,47.049999,0
2017-09-26,47.101002,47.199001,47.101002,47.199001,47.199001,0
2017-09-27,47.077000,47.077000,47.077000,47.077000,47.077000,0
2017-09-28,46.910000,46.923000,46.910000,46.923000,46.923000,0
2017-09-29,46.881001,46.881001,46.881001,46.881001,46.881001,0
2017-10-02,46.926998,47.043999,46.926998,47.043999,47.043999,0
2017-10-03,47.043999,47.043999,46.936001,46.936001,46.936001,0
2017-10-04,46.945999,46.945999,46.945999,46.945999,46.945999,0
2017-10-05,46.905998,47.053001,46.905998,47.053001,47.053001,0
2017-10-06,47.014000,47.014000,46.966000,46.966000,46.966000,0
2017-10-09,47.012001,47.012001,46.977001,46.977001,46.977001,0
2017-10-10,46.868000,46.877998,46.868000,46.877998,46.877998,0
2017-10-11,46.799000,46.799000,46.757999,46.757999,46.757999,0
2017-10-12,46.791000,46.810001,46.791000,46.810001,46.810001,0
2017-10-13,46.902000,46.956001,46.902000,46.956001,46.956001,0
2017-10-16,47.123001,47.123001,47.108002,47.108002,47.108002,0
2017-10-17,47.145000,47.179001,47.145000,47.179001,47.179001,0
2017-10-18,47.188000,47.188000,46.999001,46.999001,46.999001,0
2017-10-19,46.875000,46.884998,46.875000,46.884998,46.884998,0
2017-10-20,46.770000,46.813000,46.770000,46.813000,46.813000,0
2017-10-23,46.880001,46.952000,46.880001,46.952000,46.952000,0
2017-10-24,46.887001,46.887001,46.755001,46.755001,46.755001,0
2017-10-25,46.784000,46.784000,46.652000,46.652000,46.652000,0
2017-10-26,46.582001,46.931000,46.582001,46.931000,46.931000,4014
2017-10-27,47.063000,47.313000,47.063000,47.313000,47.313000,0
2017-10-30,47.275002,47.375999,47.275002,47.375999,47.375999,0
2017-10-31,47.421001,47.421001,47.361000,47.361000,47.361000,0
2017-11-01,null,null,null,null,null,null
2017-11-02,47.387001,47.387001,47.327999,47.327999,47.327999,0
2017-11-03,47.381001,47.470001,47.381001,47.470001,47.470001,0
2017-11-06,47.529999,47.619999,47.529999,47.619999,47.619999,0
2017-11-07,47.626999,47.754002,47.626999,47.754002,47.754002,0
2017-11-08,47.723000,47.738998,47.723000,47.738998,47.738998,0
2017-11-09,47.676998,47.676998,47.459999,47.459999,47.459999,0
2017-11-10,47.418999,47.418999,47.418999,47.418999,47.418999,0
2017-11-13,47.332001,47.332001,47.257999,47.257999,47.257999,0
2017-11-14,47.119999,47.119999,46.981998,46.981998,46.981998,0
2017-11-15,47.004002,47.004002,47.004002,47.004002,47.004002,0
2017-11-16,47.117001,47.117001,47.117001,47.117001,47.117001,0
2017-11-17,47.001999,47.132000,47.001999,47.132000,47.132000,244
2017-11-20,47.137001,47.234001,47.122002,47.234001,47.234001,546
2017-11-21,47.284000,47.310001,47.284000,47.310001,47.310001,0
2017-11-22,47.317001,47.317001,47.297001,47.297001,47.297001,0
2017-11-23,47.212002,47.212002,47.196999,47.196999,47.196999,0
2017-11-24,47.139999,47.139999,46.867001,46.867001,46.867001,0
2017-11-27,46.924000,46.980000,46.924000,46.980000,46.980000,0
2017-11-28,47.011002,47.043999,47.011002,47.043999,47.043999,0
2017-11-29,47.030998,47.030998,46.958000,46.958000,46.958000,0
2017-11-30,46.840000,46.840000,46.840000,46.840000,46.840000,0
2017-12-01,46.785999,47.049999,46.785999,47.049999,47.049999,0
2017-12-04,46.973000,47.013000,46.973000,47.013000,47.013000,0
2017-12-05,46.991001,47.119999,46.991001,47.119999,47.119999,0
2017-12-06,null,null,null,null,null,null
2017-12-07,47.235001,47.238998,47.235001,47.238998,47.238998,0
2017-12-08,47.320000,47.320000,47.300999,47.300999,47.300999,0
2017-12-11,47.194000,47.194000,47.194000,47.194000,47.194000,0
2017-12-12,47.256001,47.307999,47.256001,47.307999,47.307999,0
2017-12-13,47.290001,47.290001,47.290001,47.290001,47.290001,0
2017-12-14,47.388000,47.388000,47.388000,47.388000,47.388000,0
2017-12-15,47.456001,47.456001,47.401001,47.401001,47.401001,0
2017-12-18,47.659000,47.659000,47.362000,47.362000,47.362000,2
2017-12-19,47.277000,47.277000,47.020000,47.020000,47.020000,0
2017-12-20,46.917000,46.917000,46.752998,46.752998,46.752998,0
2017-12-21,46.750000,46.750000,46.750000,46.750000,46.750000,0
2017-12-22,46.827999,46.859001,46.827999,46.859001,46.859001,0
2017-12-27,46.840000,46.840000,46.840000,46.840000,46.840000,0
2017-12-28,46.762001,46.762001,46.685001,46.685001,46.685001,0
2017-12-29,46.685001,46.685001,46.549000,46.549000,46.549000,0
2018-01-02,46.362000,46.362000,46.362000,46.362000,46.362000,0
2018-01-03,46.389999,46.474998,46.389999,46.474998,46.474998,0
2018-01-04,46.345001,46.345001,46.345001,46.345001,46.345001,0
2018-01-05,46.334000,46.410999,46.334000,46.410999,46.410999,0
2018-01-08,46.462002,46.587002,46.462002,46.587002,46.587002,0
2018-01-09,46.646000,46.650002,46.646000,46.650002,46.650002,0
2018-01-10,46.591999,46.591999,46.521999,46.521999,46.521999,0
2018-01-11,46.299999,46.299999,46.299999,46.299999,46.299999,0
2018-01-12,46.193001,46.193001,46.193001,46.193001,46.193001,0
2018-01-15,46.056000,46.056000,45.945999,45.945999,45.945999,0
2018-01-16,45.999001,46.046001,45.999001,46.046001,46.046001,0
2018-01-17,46.021999,46.044998,46.021999,46.041000,46.041000,354
2018-01-18,46.009998,46.009998,45.987999,45.987999,45.987999,0
2018-01-19,45.875000,45.993000,45.875000,45.993000,45.993000,0
2018-01-22,45.971001,45.971001,45.948002,45.948002,45.948002,0
2018-01-23,45.970001,45.970001,45.950001,45.950001,45.950001,0
2018-01-24,45.874001,45.874001,45.769001,45.769001,45.769001,0
2018-01-25,45.742001,45.742001,45.535000,45.535000,45.535000,0
2018-01-26,45.592999,45.712002,45.592999,45.712002,45.712002,0
2018-01-29,45.619999,45.685001,45.619999,45.685001,45.685001,0
2018-01-30,45.723000,45.723000,45.598999,45.598999,45.598999,0
2018-01-31,45.554001,45.554001,45.457001,45.457001,45.457001,0
2018-02-01,45.478001,45.478001,45.372002,45.372002,45.372002,0
2018-02-02,45.183998,45.183998,45.182999,45.182999,45.182999,0
2018-02-05,45.245998,45.245998,45.245998,45.245998,45.245998,0
2018-02-06,45.471001,45.543999,45.471001,45.543999,45.543999,0
2018-02-07,45.564999,45.749001,45.564999,45.749001,45.749001,0
2018-02-08,45.623001,45.705002,45.623001,45.705002,45.705002,0
2018-02-09,45.639000,45.773998,45.639000,45.773998,45.773998,0
2018-02-12,45.679001,45.682999,45.679001,45.682999,45.682999,0
2018-02-13,45.686001,45.686001,45.541000,45.541000,45.541000,0
2018-02-14,45.556000,45.556000,45.433998,45.433998,45.433998,0
2018-02-15,45.327999,45.338001,45.327999,45.338001,45.338001,0
2018-02-16,45.262001,45.570999,45.262001,45.570999,45.570999,0
2018-02-19,45.539001,45.541000,45.539001,45.541000,45.541000,0
2018-02-20,45.518002,45.577000,45.518002,45.577000,45.577000,0
2018-02-21,45.598000,45.598000,45.597000,45.597000,45.597000,0
2018-02-22,45.728001,45.728001,45.637001,45.637001,45.637001,0
2018-02-23,45.705002,45.814999,45.705002,45.814999,45.814999,0
2018-02-26,45.799000,45.820999,45.799000,45.820999,45.820999,0
2018-02-27,45.779999,45.834000,45.779999,45.834000,45.834000,0
2018-02-28,45.938999,45.984001,45.938999,45.984001,45.984001,0
2018-03-01,46.014000,46.030998,46.014000,46.030998,46.030998,0
2018-03-02,46.048000,46.053001,45.861000,45.861000,45.861000,2007
2018-03-05,46.005001,46.005001,45.789001,45.789001,45.789001,62
2018-03-06,45.737999,45.737999,45.601002,45.601002,45.601002,0
2018-03-07,45.624001,45.624001,45.623001,45.623001,45.623001,0
2018-03-08,45.667999,45.865002,45.667999,45.865002,45.865002,0
2018-03-09,45.845001,45.845001,45.744999,45.744999,45.744999,0
2018-03-12,45.771999,45.903000,45.771999,45.903000,45.903000,0
2018-03-13,45.859001,45.859001,45.754002,45.754002,45.754002,0
2018-03-14,45.775002,45.917000,45.756001,45.917000,45.917000,5407
2018-03-15,45.945999,46.081001,45.945999,46.081001,46.081001,0
2018-03-16,46.146000,46.146000,46.146000,46.146000,46.146000,0
2018-03-19,46.180000,46.180000,46.132000,46.132000,46.132000,0
2018-03-20,45.974998,46.188999,45.974998,46.188999,46.188999,0
2018-03-21,46.157001,46.160000,46.082001,46.160000,46.160000,5689
2018-03-22,46.090000,46.271000,46.090000,46.271000,46.271000,0
2018-03-23,46.327999,46.327999,46.284000,46.284000,46.284000,0
2018-03-26,46.199001,46.199001,46.070000,46.070000,46.070000,0
2018-03-27,46.104000,46.104000,46.104000,46.104000,46.104000,0
2018-03-28,46.180000,46.297001,46.180000,46.297001,46.297001,0
2018-03-29,46.294998,46.415001,46.294998,46.415001,46.415001,0
2018-04-03,46.383999,46.446999,46.327999,46.446999,46.446999,164
2018-04-04,46.443001,46.443001,46.353001,46.353001,46.353001,2140
2018-04-05,46.347000,46.347000,46.306000,46.327999,46.327999,24
2018-04-06,null,null,null,null,null,null
2018-04-09,46.401001,46.401001,46.196999,46.196999,46.196999,0
2018-04-10,46.270000,46.270000,46.146999,46.146999,46.146999,0
2018-04-11,46.145000,46.151001,46.145000,46.151001,46.151001,0
2018-04-12,46.215000,46.215000,46.176998,46.176998,46.176998,0
2018-04-13,46.192001,46.201000,46.192001,46.201000,46.201000,0
2018-04-16,46.173000,46.173000,46.076000,46.076000,46.076000,0
2018-04-17,46.042000,46.192001,46.042000,46.192001,46.192001,0
2018-04-18,46.153000,46.153000,46.070000,46.070000,46.070000,0
2018-04-19,45.988998,45.988998,45.950001,45.950001,45.950001,0
2018-04-20,45.918999,46.058998,45.918999,46.058998,46.058998,0
2018-04-23,45.924999,45.974998,45.924999,45.974998,45.974998,0
2018-04-24,46.057999,46.057999,45.916000,45.916000,45.916000,0
2018-04-25,45.923000,45.987000,45.923000,45.987000,45.987000,0
2018-04-26,46.029999,46.261002,46.029999,46.261002,46.261002,0
2018-04-27,46.373001,46.373001,46.308998,46.308998,46.308998,0
2018-04-30,46.230000,46.404999,46.230000,46.404999,46.404999,0
2018-05-02,46.462002,46.539001,46.462002,46.539001,46.539001,0
2018-05-03,46.533001,46.758999,46.533001,46.758999,46.758999,0
2018-05-04,46.750000,46.750000,46.723000,46.723000,46.723000,0
2018-05-07,null,null,null,null,null,null
2018-05-08,46.780998,46.831001,46.780998,46.831001,46.831001,0
2018-05-09,46.896999,46.896999,46.820000,46.820000,46.820000,0
2018-05-10,46.814999,46.814999,46.729000,46.729000,46.729000,0
2018-05-11,46.678001,46.678001,46.678001,46.678001,46.678001,0
2018-05-14,46.512001,46.512001,46.512001,46.512001,46.512001,0
2018-05-15,46.537998,46.608002,46.537998,46.608002,46.608002,0
2018-05-16,46.680000,46.680000,46.680000,46.680000,46.680000,0
2018-05-17,46.660000,46.737000,46.660000,46.667999,46.667999,209
2018-05-18,46.570000,46.785000,46.570000,46.785000,46.785000,0
2018-05-21,46.823002,46.823002,46.751999,46.751999,46.751999,0
2018-05-22,46.744999,46.744999,46.682999,46.682999,46.682999,0
2018-05-23,46.901001,47.083000,46.901001,47.083000,47.083000,0
2018-05-24,47.098999,47.201000,47.098999,47.201000,47.201000,0
2018-05-25,47.266998,47.430000,47.266998,47.430000,47.430000,0
2018-05-28,47.514000,47.514000,47.514000,47.514000,47.514000,0
2018-05-29,47.688999,47.827000,47.605000,47.827000,47.827000,112
2018-05-30,47.675999,47.675999,47.603001,47.603001,47.603001,0
2018-05-31,null,null,null,null,null,null
2018-06-01,47.582001,47.582001,47.473999,47.473999,47.473999,0
2018-06-04,47.431000,47.431000,47.384998,47.384998,47.384998,0
2018-06-05,47.334999,47.404999,47.334999,47.404999,47.404999,0
2018-06-06,47.113998,47.113998,46.919998,46.919998,46.919998,38
2018-06-07,46.723000,46.723000,46.723000,46.723000,46.723000,0
2018-06-08,46.966000,46.971001,46.966000,46.971001,46.971001,0
2018-06-11,46.806999,46.806999,46.806000,46.806000,46.806000,0
2018-06-12,46.827999,46.827999,46.824001,46.824001,46.824001,0
2018-06-13,46.932999,46.932999,46.907001,46.907001,46.907001,0
2018-06-14,47.368999,47.368999,47.368999,47.368999,47.368999,0
2018-06-15,47.645000,47.645000,47.455002,47.455002,47.455002,2007
2018-06-18,47.493999,47.493999,47.493999,47.493999,47.493999,0
2018-06-19,47.757999,47.757999,47.659000,47.659000,47.659000,0
2018-06-20,47.673000,47.673000,47.601002,47.601002,47.601002,0
2018-06-21,47.623001,47.623001,47.530998,47.530998,47.530998,0
2018-06-22,47.326000,47.467999,47.326000,47.467999,47.467999,0
2018-06-25,47.334999,47.334999,47.334999,47.334999,47.334999,0
2018-06-26,47.327999,47.327999,47.327999,47.327999,47.327999,0
2018-06-27,47.424999,47.618999,47.424999,47.618999,47.618999,0
2018-06-28,47.805000,47.805000,47.658001,47.658001,47.658001,0
2018-06-29,47.436001,47.436001,47.423000,47.423000,47.423000,0
2018-07-02,47.723000,47.723000,47.604000,47.604000,47.604000,2
2018-07-03,47.452000,47.548000,47.452000,47.548000,47.548000,0
2018-07-04,47.618000,47.618000,47.618000,47.618000,47.618000,0
2018-07-05,47.396000,47.448002,47.396000,47.448002,47.448002,0
2018-07-06,47.405998,47.405998,47.312000,47.312000,47.312000,0
2018-07-09,47.299000,47.299000,47.278000,47.278000,47.278000,0
2018-07-10,47.187000,47.268002,47.187000,47.268002,47.268002,0
2018-07-11,47.354000,47.354000,47.272999,47.272999,47.272999,0
2018-07-12,47.297001,47.297001,47.297001,47.297001,47.297001,17
